Course Name,Course Code,Credit Hours
Object Oriented Programming,CSE015,3
Computer Skills,CSE011,0
Scientific Applications of Computers,CSE012,2
Introduction to Information systems & technology,CSE013,2
Structured Programming,CSE014,3
Digital Branding,CSE081,3
Data Structures,CSE111,3
Design & Analysis of Algorithms,CSE112,4
Electric &Electronic Circuits,CSE113,3
Logic Design,CSE131,3
Computer Architecture &Organization,CSE132,3
Field Training 1 in Computer Science,CSE191,2
Field Training 2 in Computer Science,CSE192,2
Web Programming,CSE211,3
Database Systems,CSE221,3
Operating Systems Administration,CSE232,3
Operating Systems,CSE233,3
Embedded Systems,CSE234,3
Security of Information Systems,CSE241,3
Cryptography,CSE242,3
Secure Programming,CSE243,3
Software Engineering,CSE251,3
Computer Networks,CSE261,3
Parallel Programming,CSE373,3
Image Processing,CSE281,3
Introduction to Digital Forensics,CSE283,3
Computer Graphics,CSE382,3
Graduation Project 1,CSE493,3
Graduation Project 2,CSE494,3
Networks Virtualization and Administration,CSE361,3
Industrial Networks,CSE362,3
Cloud Computing,CSE363,3
Distributed Information Systems,CSE474,3
High Performance Computing,CSE475,3
Advanced Networking,CSE463,3
Internet of Things,CSE464,3
Selected Topics in Cloud Computing,CSE465,3
Selected Topics in IoT,CSE466,3
Interactive Multimedia,CSE484,3
Computer Games Theory,CSE485,3
Visualization & Animation,CSE488,3
Introduction to Cyber Security,CSE344,3
Software Testing,CSE453,3
Advanced Software Engineering,CSE454,3
Real Time & Embedded Systems Design,CSE335,3
Selected Topics in Big Data,CSE427,3
Selected Topics in Information Security,CSE445,3
Selected Topics in Embedded Systems,CSE436,3
Parallel & Distributed Systems,CSE272,3
Big Data Analytics 1,CSE322,3
Data Warehousing,CSE424,3
Selected Topics in Data Science,CSE426,3
Graduation Project 1 in AI Science,AIE493,3
Graduation Project 2 in AI Science,AIE494,3
